"1997-1998 County To County Migration  Inflows",,,,,,Connecticut,,,
"(Aggregate money amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
"Migration into ",,"Migration from",,,,Number,Number,Aggregate,
Connecticut,,,,,,of,of,adjusted,
State,County,State,County,State,"State totals, county totals,",returns,exemptions,gross,
"FIPS Code",,,,,"and county by county detail",,,income,
,,,,,,,,,
09,003,10,003,DE,"New Castle County",27,61,2120,
09,003,13,067,GA,"Cobb County",27,53,1424,
09,003,13,121,GA,"Fulton County",27,53,1203,
09,003,36,001,NY,"Albany County",27,51,1148,
09,003,37,119,NC,"Mecklenburg County",27,48,1851,
09,003,48,113,TX,"Dallas County",27,51,1585,
09,003,57,003,FR,"Foreign - Puerto Rico",27,55,254,
09,003,04,019,AZ,"Pima County",26,44,1006,
09,003,33,015,NH,"Rockingham County",26,43,1678,
09,003,37,183,NC,"Wake County",26,41,634,
09,003,17,043,IL,"Du Page County",25,58,2310,
09,003,36,091,NY,"Saratoga County",25,51,1397,
09,003,48,029,TX,"Bexar County",25,39,1344,
09,003,06,085,CA,"Santa Clara County",24,56,1705,
09,003,23,031,ME,"York County",24,46,1353,
09,003,26,125,MI,"Oakland County",24,55,1964,
09,003,34,017,NJ,"Hudson County",24,39,923,
09,003,34,039,NJ,"Union County",23,42,1384,
09,003,48,201,TX,"Harris County",23,59,1103,
09,003,12,115,FL,"Sarasota County",22,36,737,
09,003,08,005,CO,"Arapahoe County",21,39,754,
09,003,36,065,NY,"Oneida County",21,38,1137,
09,003,36,071,NY,"Orange County",21,47,1011,
09,003,50,025,VT,"Windham County",21,27,597,
09,003,12,031,FL,"Duval County",20,34,582,
09,003,33,005,NH,"Cheshire County",20,25,479,
09,003,37,051,NC,"Cumberland County",20,40,420,
09,003,42,017,PA,"Bucks County",20,36,1566,
09,003,44,003,RI,"Kent County",20,31,722,
09,003,44,005,RI,"Newport County",20,31,546,
09,003,12,071,FL,"Lee County",19,32,687,
09,003,24,033,MD,"Prince George's Coun",19,31,674,
09,003,32,003,NV,"Clark County",19,27,432,
09,003,34,031,NJ,"Passaic County",19,44,709,
09,003,39,049,OH,"Franklin County",19,39,727,
09,003,06,075,CA,"San Francisco County",18,21,413,
09,003,12,117,FL,"Seminole County",18,31,525,
09,003,17,097,IL,"Lake County",18,59,2337,
09,003,33,013,NH,"Merrimack County",18,38,1010,
09,003,39,153,OH,"Summit County",18,31,1206,
09,003,42,029,PA,"Chester County",18,34,3817,
09,003,48,439,TX,"Tarrant County",18,39,1019,
09,003,36,087,NY,"Rockland County",17,28,648,
09,003,42,045,PA,"Delaware County",17,44,2265,
09,003,08,013,CO,"Boulder County",16,24,622,
09,003,08,031,CO,"Denver County",16,21,548,
09,003,15,003,HI,"Honolulu County",16,30,649,
09,003,24,510,MD,Baltimore,16,21,723,
09,003,34,035,NJ,"Somerset County",16,33,1346,
09,003,36,083,NY,"Rensselaer County",16,25,710,
09,003,39,061,OH,"Hamilton County",16,31,735,
09,003,06,013,CA,"Contra Costa County",15,29,1144,
09,003,08,041,CO,"El Paso County",15,24,451,
09,003,12,105,FL,"Polk County",15,31,296,
09,003,18,097,IN,"Marion County",15,28,834,
09,003,23,011,ME,"Kennebec County",15,30,239,
09,003,34,021,NJ,"Mercer County",15,21,720,
09,003,36,007,NY,"Broome County",15,23,497,
09,003,37,081,NC,"Guilford County",15,27,642,
09,003,37,129,NC,"New Hanover County",15,23,330,
09,003,48,085,TX,"Collin County",15,40,1306,
09,003,51,087,VA,"Henrico County",15,19,748,
09,003,06,001,CA,"Alameda County",14,21,1029,
09,003,12,101,FL,"Pasco County",14,24,272,
09,003,26,163,MI,"Wayne County",14,30,844,
09,003,29,189,MO,"St Louis County",14,33,1213,
09,003,36,085,NY,"Richmond County",14,23,606,
09,003,37,133,NC,"Onslow County",14,27,253,
09,003,42,077,PA,"Lehigh County",14,28,656,
09,003,48,027,TX,"Bell County",14,27,320,
09,003,51,013,VA,"Arlington County",14,16,558,
09,003,12,021,FL,"Collier County",13,19,340,
09,003,13,135,GA,"Gwinnett County",13,25,909,
09,003,23,003,ME,"Aroostook County",13,22,156,
09,003,34,007,NJ,"Camden County",13,32,768,
09,003,34,025,NJ,"Monmouth County",13,17,568,
09,003,41,051,OR,"Multnomah County",13,13,260,
09,003,45,019,SC,"Charleston County",13,27,622,
09,003,08,059,CO,"Jefferson County",12,22,686,
09,003,12,015,FL,"Charlotte County",12,21,296,
09,003,12,073,FL,"Leon County",12,23,326,
09,003,12,083,FL,"Marion County",12,20,480,
09,003,24,003,MD,"Anne Arundel County",12,31,776,
09,003,33,009,NH,"Grafton County",12,28,812,
09,003,42,043,PA,"Dauphin County",12,20,517,
09,003,49,035,UT,"Salt Lake County",12,21,450,
09,003,50,021,VT,"Rutland County",12,12,217,
09,003,51,810,VA,"Virginia Beach",12,25,312,
09,003,06,071,CA,"San Bernardino Count",11,29,736,
09,003,12,085,FL,"Martin County",11,22,770,
09,003,23,001,ME,"Androscoggin County",11,19,305,
09,003,23,019,ME,"Penobscot County",11,14,182,
09,003,27,123,MN,"Ramsey County",11,16,326,
09,003,34,019,NJ,"Hunterdon County",11,20,799,
09,003,34,029,NJ,"Ocean County",11,16,295,
09,003,36,093,NY,"Schenectady County",11,25,488,
09,003,36,111,NY,"Ulster County",11,16,518,
09,003,45,045,SC,"Greenville County",11,26,434,
09,003,47,037,TN,"Davidson County",11,19,449,
09,003,08,035,CO,"Douglas County",10,24,768,
09,003,12,069,FL,"Lake County",10,17,205,
09,003,12,111,FL,"St Lucie County",10,17,485,
09,003,21,111,KY,"Jefferson County",10,24,790,
09,003,24,027,MD,"Howard County",10,21,726,
09,003,34,005,NJ,"Burlington County",10,25,903,
09,003,42,069,PA,"Lackawanna County",10,18,575,
09,003,45,079,SC,"Richland County",10,23,305,
09,003,48,141,TX,"El Paso County",10,26,493,
09,003,50,003,VT,"Bennington County",10,12,163,
09,003,51,510,VA,Alexandria,10,17,614,
09,003,58,000,SS,"Other Flows - Same State",194,299,5801,
09,003,59,000,DS,"Other Flows - Diff State",1650,3082,72167,
09,003,59,001,DS,"Other Flows - Northeast",363,644,13950,
09,003,59,003,DS,"Other Flows - Midwest",383,775,23270,
09,003,59,005,DS,"Other Flows - South",656,1229,25391,
09,003,59,007,DS,"Other Flows - West",248,434,9558,
09,003,57,009,FR,"Foreign - Other flows",292,409,7457,
09,005,96,000,CT,"Litchfield Coun Tot Mig-US & For",3999,7445,201111,
09,005,97,000,CT,"Litchfield Coun Tot Mig-US",3960,7368,199106,
09,005,97,001,CT,"Litchfield Coun Tot Mig-Same St",2433,4509,113061,
09,005,97,003,CT,"Litchfield Coun Tot Mig-Diff St",1527,2859,86046,
09,005,98,000,CT,"Litchfield Coun Tot Mig-Foreign",39,77,2005,
09,005,09,005,CT,"Litchfield Coun Non-Migrants",67213,145830,3667557,
09,005,09,009,CT,"New Haven County",983,1926,41958,
09,005,09,001,CT,"Fairfield County",677,1216,40515,
09,005,09,003,CT,"Hartford County",670,1178,26102,
09,005,36,061,NY,"New York County",79,118,13368,
09,005,36,119,NY,"Westchester County",62,105,5944,
09,005,36,027,NY,"Dutchess County",60,113,1904,
09,005,25,003,MA,"Berkshire County",37,64,1083,
09,005,09,013,CT,"Tolland County",33,61,1317,
09,005,09,007,CT,"Middlesex County",32,63,1580,
